player_id,device_id,event_date,games_played
5,17,17/01/19,44
31,43,21/01/19,41
52,89,09/03/19,44
14,154,13/02/19,87
96,46,22/03/19,77
73,131,19/03/19,70
49,106,13/02/19,80
12,189,15/01/19,13
40,151,19/01/19,4
63,196,23/02/19,74
37,86,22/01/19,38
60,41,07/03/19,46
60,162,12/01/19,8
9,81,28/01/19,88
83,48,15/02/19,6
97,85,30/03/19,0
21,87,18/01/19,16
77,170,17/02/19,41
37,192,04/03/19,37
76,141,04/01/19,3
89,48,26/02/19,80
48,3,25/03/19,70
68,165,07/02/19,12
63,200,11/03/19,73
84,126,04/02/19,73
57,23,16/02/19,16
36,19,27/02/19,54
73,7,28/03/19,54
17,172,14/03/19,67
46,143,28/01/19,43
56,79,08/01/19,99
31,44,09/03/19,78
58,48,08/03/19,46
87,111,20/02/19,17
3,10,20/02/19,31
44,19,12/01/19,37
95,89,07/03/19,4
7,151,04/03/19,66
66,16,01/03/19,73
37,132,08/03/19,52
26,116,24/02/19,34
7,126,09/03/19,64
98,170,05/03/19,23
91,50,26/01/19,32
47,160,12/02/19,99
52,83,23/03/19,35
45,106,28/01/19,39
34,94,24/02/19,60
75,110,13/03/19,66
77,131,11/01/19,12
12,68,22/03/19,68
40,97,11/02/19,62
91,86,09/03/19,28
8,42,30/03/19,99
14,161,28/03/19,50
77,148,22/01/19,15
100,87,13/01/19,42
86,94,24/03/19,58
23,26,04/02/19,94
80,57,25/02/19,96
98,48,18/02/19,48
87,115,25/02/19,91
30,6,07/02/19,62
52,148,19/02/19,73
5,178,04/03/19,93
69,120,23/03/19,79
95,76,26/03/19,50
22,121,28/02/19,25
65,96,31/01/19,86
93,196,23/02/19,76
63,12,25/02/19,89
28,96,25/02/19,91
3,6,17/02/19,10
25,179,26/03/19,34
91,17,30/03/19,0
1,12,10/03/19,39
69,7,12/03/19,33
10,153,21/03/19,49
41,98,06/02/19,70
6,88,07/03/19,23
46,81,10/03/19,64
17,21,09/02/19,70
66,151,07/03/19,25
27,38,11/03/19,80
84,91,19/03/19,83
18,159,09/03/19,72
72,188,17/02/19,5
24,134,08/01/19,23
