salary_id,employee_id,amount,payment_date
1,1,3800,01/31/2024 00:00:00
2,2,2230,01/31/2024 00:00:00
3,3,7000,01/31/2024 00:00:00
4,4,6800,01/31/2024 00:00:00
5,5,1750,01/31/2024 00:00:00
6,6,13000,01/31/2024 00:00:00
7,7,12500,01/31/2024 00:00:00
8,8,6800,01/31/2024 00:00:00
9,9,11000,01/31/2024 00:00:00
10,10,4000,01/31/2024 00:00:00
11,11,10800,01/31/2024 00:00:00
12,12,9500,01/31/2024 00:00:00
13,13,7000,01/31/2024 00:00:00
14,14,8000,01/31/2024 00:00:00
15,15,4000,01/31/2024 00:00:00
16,1,3800,02/28/2024 00:00:00
17,2,2230,02/28/2024 00:00:00
18,3,7000,02/28/2024 00:00:00
19,4,6800,02/28/2024 00:00:00
20,5,1750,02/28/2024 00:00:00
21,6,13000,02/28/2024 00:00:00
22,7,12500,02/28/2024 00:00:00
23,8,6800,02/28/2024 00:00:00
24,9,11000,02/28/2024 00:00:00
25,10,4000,02/28/2024 00:00:00
26,11,10800,02/28/2024 00:00:00
27,12,9500,02/28/2024 00:00:00
28,13,7000,02/28/2024 00:00:00
29,14,8000,02/28/2024 00:00:00
30,15,4000,02/28/2024 00:00:00
31,1,3800,03/31/2024 00:00:00
32,2,2230,03/31/2024 00:00:00
33,3,7000,03/31/2024 00:00:00
34,4,6800,03/31/2024 00:00:00
35,5,1750,03/31/2024 00:00:00
36,6,13000,03/31/2024 00:00:00
37,7,12500,03/31/2024 00:00:00
38,8,6800,03/31/2024 00:00:00
39,9,11000,03/31/2024 00:00:00
40,10,4000,03/31/2024 00:00:00
41,11,10800,03/31/2024 00:00:00
42,12,9500,03/31/2024 00:00:00
43,13,7000,03/31/2024 00:00:00
44,14,8000,03/31/2024 00:00:00
45,15,4000,03/31/2024 00:00:00
